,Authors,Title,Cities,Publisher,Years,Fund,Segni
2190,"Read, Herbert",Giovenale,Torino,Le Monnier,1919,BTB Segn. 2395 ,Q
2191,"Read, Herbert",Piccolo vocabolario metodico della lingua greca compilato per le scuole secondarie,"Firenze, Vallecchi",Giusti,1933,BTB Segn. 629 ,nan
2192,Real Academia española,"Pensieri controcorrente. Roma, Ist. Graf",Torino,s.d. (ma:,1931,BAL ,nan
2193,"Reggiori, Ferdinando","Panorama de la nouvelle littérature française. Introduction, illustrations, documents",Roma,NRFGallimard,1931,BTB Segn. 631 ,nan
2194,"Regia Parnassi. Parma, Borsi,",L’Italia nella prima guerra mondiale (,Berlin,L’Italia nella prima guerra mondiale (,1889,BTB Segn. 630 ,Dedica dell’autore in data 11.1938.
2195,Regolamento del servizio in,"Ivrea, Ing. Olivetti e C",Roma,Ing. Olivetti e C.,1940,BAL e BTM ,Tre copie.
2196,", 1909.",Lorenzo Lotto,Milano,Mondadori,1930,BTB Segn. 943 ,nan
2197,Regolamento di esercizi per,La vie de famille au dixhuitième siècle. Prefazione di G. Lenôtre,Firenze,Jonquières,1930,BTB Segn. 925 ,nan
2198,", 1914.","Pinacoteca QueriniStampalia: . Verona, Zanetti, s.d",Firenze,s.d. (data della prefazione:,1956,BTB Segn. 923-924 ,"Nota di possesso autografa in data 9.06.1941. Volume I, sottolineature; volume II intonso."
2199,"Remarque, Erich Maria",Esercizi sulla geometria elementare,"Firenze, Vallecchi",Hoepli,1956,BTB Segn. 926 ,nan
2200,"Rémusat, madame de (Claire", Geometria metrica e trigonometria,"Firenze, Vallecchi",Hoepli,1969,BTB Segn. 2448 ,Nota di possesso autografa di Adele Gadda  Lehr.
2201,"Renan, Ernest", Geometria pura elementare con le figure sferiche,Torino,Hoepli,1958,BTB Segn. 1689-1690 ,nan
2202,"Retz, Jean François Paul",Re Hassan,Torino,Ricordi,1952,BTB Segn. 2396 ,R
2203,"Revelli, Paolo","I santi martiri Sisinio, Martirio e Alessandro e il loro culto in Milano",Firenze,Wilmant,1971,BAL ,nan
2204,"Revelli, Paolo",I falsi redentori,"Venezia, Edizioni del Cavallino",Garzanti,1952,BTB Segn. 1079 ,nan
2205,Le Rhin de Cologne jusqu’à,In silenzio (Novelle per un anno vol. 6),Firenze,Bemporad,1940,BTB Segn. 1078 ,Pieghe.
2206,"Ribot, Théodule",Storia militare del Rinascimento: guerre e insurrezioni,Prima bozza impaginata,Einaudi,1963,BAL ,nan
2207,"Ribot, Théodule",La rabbia morta,"Roma, Comitato Nazionale per l’Energia Nucleare",Gastaldi editore,1923,BAL ,nan
2208,"Ridolfi, Roberto","Grammatica della lingua greca, fonetica e morfologia","Milano, Istituto Editoriale Italiano",s.d.,1940,BTB Segn. 1898 ,Intonso.
2209,"Ridolfi, Roberto", Manuale storico della lingua greca,Paris,Sansoni,1947,BTB Segn. 1899 ,Intonso.
2210,"Ridolfi, Roberto"," Sintassi della lingua greca antica: con appendici sulla metrica e sui dialetti. Milano, Fratelli Fabbri, s.d",MilanoNapoli,s.d.,1929,BTB Segn. 633 ,nan
2211,"Riggio Cinelli, Linda","I versi aurei, i simboli, le lettere seguite da frammenti ed estratti di Porfirio, dell’anonimo Foziano di Iamblico e di Ierocle relativi a Pitagora",,dell’anonimo Foziano di Iamblico e di Ierocle relativi a Pitagora.,1931,BTB Segn. 851 ,nan
2212,Ead.,Aforismi,"Supino, Milano, Bom piani",Rebellato,1943,BTB Segn. 634 ,nan
2213,"Rigoni Stern, Mario",La pittura bresciana del Rinascimento.  della mostra. Città di Brescia,"Paris, NRFGallimard",La pittura bresciana del Rinascimento.  della mostra. Città di Brescia. Maggiosettembre,1828,BTB Segn. 1080 ,nan
2214,"Rigutini, Giuseppe",La catalisi e le sue applicazioni industriali,(ma:,Hoepli,1950,BTB Segn. 1081 ,nan
2215,"Rilke, Rainer Maria",Buddha e i dogmi del budddhismo,"Paris, NRFGallimard",luglio,1915,BTB Segn. 1487 ,nan
2216,"Rimbaud, Arthur", La filosofia indiana,"Paris, NRFGallimard",Mattei,1952,BAC ,Dedica dell’autore in data 24.6.1935.
2217,"Rimbaud, Arthur","Pizzetti, Ippolito, Cocker Henry  Il libro dei fiori","Paris, NRF Gallimard",Garzanti,1912,BTB Segn. 866 ,nan
2218,"Rivière, Jacques",delle strade della città di Milano al 31 dicembre,"Paris, NRFGallimard",delle strade della città di Milano al 31 dicembre,1930,BAL ,Dedica dell’autore in data 1966.
2219,La rivoluzione russa.,"Apologia di Socrate. Milano, Sonzogno, s.d. («Biblioteca universale»: 427)","Paris, NRFGallimard",s.d. («Biblioteca universale»: 427).,1888,BTB Segn. 128 ,nan
2220,"Robin, Léon", Il Fedone. Prefazione di E,"Paris, NRFGallimard",Sonzogno,1950,BTB Segn. 867 ,nan
2221,"Robiquet, Jean", Fedone,Paris,Laterza,1968,BTB Segn. 1970 ,nan
2222,"Rodolico, Niccolò"," Œuvres complètes. I. Bodin, L. Robin, A. Diès, A. Rivaud, J. Souilhé",Torino,Les Belles Lettres,1968,BTB Segn. 635 ,nan
2223,"Rodolico, Niccolò", Œuvres complètes,"Paris, Galli mard",Gallimard,1937,BTB Segn. 636 ,nan
2224,"Rodolico, Niccolò", Processo e morte di Socrate. Eutifrone. Apologia. Critone. Fedone,Paris,Rizzoli,1929,BTB Segn. 2449 ,nan
2225,"Rohlfs, Gerhard", Il Protagora,Firenze,Sonzogno,1951,BAL ,nan
2226,"Rolland, Romain",La commedia del fantasma; Il soldato smargiasso. Illustrazioni di G. Cisari,Milano,Formìggini,1877,BTB Segn. 2242 ,nan
2227,"Rolland, Romain",Giovane Epistole scelte,(«Classici italiani: 4344»),Sorteni,1878,BTB Segn. 2277 ,nan
2228,"Rolland, Romain",Le vite parallele. Alessandro e Cesare,Napoli,Paravia,1875,BTB Segn. 2470 ,nan
2229,"Rollone, Luigi",Plutarque,Milano,Gallimard,1945,BTB Segn. 2162-2163 ,nan
2230,"Romagnosi, Gian Domenico",Un viaje a Toledo,Breno,Hernando,1951,BAL ,nan
2231,"Romani, Felice","Histoires extraordinaires. Paris, Nelson, s.d. («Collection Nelson»)","Firenze, Vallecchi",s.d. («Collection Nelson»).,1922,BTB Segn. 2165 ,"Nota di possesso autografa: «Carlo Emilio Gadda, Duca di Sant’Aquila. Campagna Austriaca 1915. Ponte di Legno (Valcamonica) 8 dicembre 1915»."
2232,"Romani, Felice", Nouvelles histoires extraordinaires,"Roma, Bestetti",CalmannLévy,1941,BTB Segn. 1210 ,Nota di possesso autografa in data 2.03.1931. Pieghe.
2233,"Romeo, Nicolò", Racconti del terrore,"Firenze, Edizioni di So laria",Rizzoli,1962,BTB Segn. 1082 ,nan
2234,"Romussi, Carlo"," Racconti straordinari. Illustrazioni di A. Ginna. Milano, Facchi, s.d",Milano,con illustrazioni.,1967,BTB Segn. 1083 ,nan
2235,"Roncaglia, Aurelio", Suggestione,"Solmi, Milano, Scheiwiller",Lettere d’oggi,1966,BTB Segn. 1547 ,nan
2236,"Ronchi, Mario",Poesia dialettale del Novecento.P. Pasolini. Introduzione di P.P,Milano,Guanda,1965,BTB Segn. 1548 ,nan
2237,"Rosai, Ottone",La poesia popolare italiana,"Milano, Mondadori",Garzanti,1944,BTB Segn. 2288 ,nan
2238,"Rosai, Ottone",,"Madrid, EspasaCalpe",.,1970,BTB Segn. 2000 ,nan
2239,"Rosati, Salvatore",Poesia straniera del Novecento,"Madrid, EspasaCalpe",Poesia straniera del Novecento.,1968,BTB Segn. 1999 ,nan
2240,"Rosato, Giuseppe",Poesia straniera del Novecento,Roma,Garzanti,1970,BTB Segn. 2095 ,nan
2241,"Roscioni, Gian Carlo","(Guido Guinizelli, Guido Cavalcanti, Lapo Gianni, Gianni Alfani, Dino Frescobaldi, Cino da Pistoia)","Paris, Ha chette",Collana italiana,1966,BTB Segn. 637 ,Intonso.
2242,"Rosina, Tito","Poeti del Duecento. Storia e testi»: 2, 12), 2 volumi","Torino,  Einaudi",2 volumi.,1923,BTB Segn. 1549-1550 ,nan
2243,"Rosina, Tito",stranieri. Antologia,Roma,stranieri. Antologia.,1937,BTB Segn. 868 ,nan
2244,"Rosselli, Aldo",,Paris,.,1946,BTB Segn. 2450 ,Dedica dell’autrice ad Adele Gadda Lehr.
2245,"Rossi, Gilberto",Elementi teoricopratici di elettrofisica moderna,"Paris,              Lecon",Hoepli,1946,BTB Segn. 1343 ,Dedica dell’autrice ad Adele Gadda Lehr in data 10.1926. Postille.
2246,"Rossi, Vittorio",Tempesta a Torcello,"Paris, Librairies de la Bibliothèque Nationale",Guanda,1925,BTB Segn. 638 ,nan
2247,"Rostand, Jean",detto il) Rime. Prefazione   di P. Mastri,"Paris,  Roches",Rinascimento del Libro,1946,BTB Segn. 2451 ,nan
2248,"Rotta, Paolo"," Le stanze, L’Orfeo e le Rime",Paris,Le Monnier,1947,BTB Segn. 1212 ,nan
2249,"Rouché, Max"," Le stanze, L’Orfeo e le Rime","Paris, Hachette",UTET,1936,BAL ,nan
2250,"Rougemont, Denis de", Stanze per la giostra – Oreste,Paris,Garroni,1943,BTB Segn. 1084 ,nan
2251,"Roujon, Jacques",Il Milione,"Siena, Accademia degli Intronati",Donatello Di Luigi,1964,BTB Segn. 2243 ,Dedica del curatore.
2252,"Roujon, Jacques",Voltaire par luimême,Firenze,Seuil,1850,BTB Segn. 1146 ,nan
2253,"Roujon, Jacques",Alla ricerca della passione,Roma,Garzanti,1936,BAL ,nan
2254,"Roujon, Jacques",   di Roma e i suoi dintorni ossia itinerario del Nibby,Paris,Loescher,1887,BTB Segn. 2086 ,nan
2255,"Roujon, Jacques",El lava piatt del meneghin ch’è mort,Torino,Ricciardi,1934,BTB Segn. 1971 ,nan
2256,"Rousseau, Pierre", Poesie,"Ancona, Al l’insegna del Conero",La  Nuova Italia,1931,BTB Segn. 1691 ,nan
2257,"Roux, Onorato", Poesie edite e inedite. Illustrazioni di Gonin e altri,Firenze,Hoepli,1952,BAL ,Dedica dell’autore.
2258,"Roversi, Roberto"," – Grossi, Tommaso Poesie milanesi",Roma,s.d.,1943,BTB Segn. 1488 ,nan
2259,"Rovetta, Gerolamo",Aedilitia,"Milano, Hoepli",Bestetti,1939,BTB Segn. 1551 ,nan
2260,"Royer, Louis Charles",Id,Milano,Id. L’architettura del Rinascimento nell’ex ducato di Milano,1952,BTB Segn. 2454 ,nan
2261,"Rubagotti, Angelo", La Casa degli Atellani,"Milano, Hoepli",Bestetti,1964,BTB Segn. 1085 ,Dedica di Marie R. Rolland.
2262,"Rudolf Levy. Firenze, L’Indiano"," – Pica, Agnoldomenico La basilica porziana di S. Vittore al Corpo","Sesto San Giovanni, Madella",Off. graf. Esperia,1831,BAL ,nan
2263,"Ruesch, Hans"," – Pica, Agnoldomenico Le Grazie","Milano, Società                   Umanitaria",Casa Editrice Mediterranea,1950,BTB Segn. 2294 ,Intonso.
2264,"Ruesch, Hans"," – Semenza, Marco Milano come è ora e come sarà. Progetto per il piano regolatore della città di Milano",Milano,Bestetti,1944,BTB Segn. 1900 ,nan
2265,"Ruiz de Alarcón, Juan",Le forme degli animali,"Milano, Mazzotta",Feltrinelli,1919,BTB Segn. 1438 ,nan
2266,Rules and Data on Pressure,,Milano,TCI,1944,BTB Segn. 1439 ,nan
2267,"Runge, Enrico",Hugues La Grecia. Falconetti,"Madrid, Espasa Calpe",Antonelli,1700,BAL ,nan
2268,"Rusconi, Antonio",Vita nel Medioevo,Milano,Einaudi,1939,BTB Segn. Op. 52 ,Intonso.
2269,"Rusconi, Antonio",Processo per eresia,Parma,Vallecchi,1942,BTB Segn. 2338 ,nan
2270,"Rusconi, Antonio",La poesia italiana del Novecento,Roma,Einaudi,1929,BTB Segn. 974 ,Nota di possesso autografa in data 22.01.1941.
2271,"Rüssel, Herbert Werner",Nel buio,,Pite,1940,BTB Segn. 643 ,nan
2272,"Russell, Bertrand",  Friedrich Die Philosophie des Altertums,Roma,Mittler,1915,BTB Segn. 639 ,nan
2273,"Russell, Bertrand",Tavolozza,Roma,Garroni,1945,BTB Segn. 640 ,nan
2274,"Russell, Henry Norris",Vocabolario etimologico italiano,,Garzanti,1951,BTB Segn. 1351 ,nan
2275,"Russo, Luigi",Le amiche,Paris,Vallecchi,1223,BTB Segn. 641 ,nan
2276,"Russo, Luigi", Cronache di poveri amanti,Torino,Vallecchi,1819,BAL ,nan
2277,"Russo, Luigi", Il tappeto verde,Milano,Vallecchi,1962,BTB Segn. 869 ,Dedica dell’autore.
2278,"Russo, Luigi", Via de’ Magazzini,Paris,Vallecchi,1908,BTB Segn. 870 ,Dedica dell’autrice.
2279,Ruzante (Angelo Beolco),"La carne, la morte e il diavolo nella letteratura romantica",Torino,Einaudi,1946,BTB Segn. 642 ,nan
2280,Ruzante (Angelo Beolco),  Motivi e figure,"Genova, Comitato Cittadino Celebrazioni Colombiane",Einaudi,1933,BTB Segn. 644 ,Intonso.
2281,Ruzante (Angelo Beolco), Storia della letteratura inglese,Berlin,Sansoni,1378,BTB Segn. 871-873 ,nan
2282,"Ryan, Cornelius","Premi assegnati dalla Reale Accademia d’Italia nell’Adunanza solenne in Campidoglio, 21 aprile",Paris,21 aprile,1939,BTB Segn. 2087-2088 ,nan
2283,"Saba, Umberto",". Campigli, Carrà, Cesetti, Marino, Romanelli, Rosai, Sironi, Tosi","Paris, Alcan",Edizioni del Cavallino,1943,BTB Segn. 1972 ,Sottolineature.
2284,"Sabartés, Jaime",Mostra di opere d’arte restaurate,Milano,Tip. Giuntina,1971,BTB Segn. 1973 ,nan
2285,Un sabotatore: Giorgio Labò.,Processo Winckelmann,Roma,adespota.,1966,BTB Segn. 1086 ,Dedica dell’autore in data 29.1.53.
2286,"Sacchetti, Francesco",Programmi e attività,"Roma,  Belardetti",Comitato Nazionale per l’Energia Nucleare,1954,BTB Segn. 1147 ,nan
2287,"Sacchetti, Francesco",Le elegie,"Roma, Belardetti",Istituto Editoriale Italiano,1945,BAL ,nan
2288,"Sacchetti, Francesco", Elégies,Fi renze,Les Belles Lettres,1961,BTB Segn. 1087 ,nan
2289,"Sachs, Maurice",Prosatori latini del Quattrocento,"Firenze, Carpigiani e Zipoli",Ricciardi,1925,BTB Segn. 1088 ,Postille.
2290,La Sacra Bibbia.,e annotate ad uso dei licei,"Torino, Ei naudi",e annotate ad uso dei licei.,1972,BTB Segn. 1089 ,Nota di possesso autografa in data 02.1905.
2291,La Sacra Bibbia.,"francese da Corneille Chénier. Prefazione di A. Gia de. Inghilleri di Villadauro, B. Maffi, A",Firenze,Bom piani,1959,BTB Segn. 1090 ,nan
2292,La Sacra Bibbia.,À la recherche du temps perdu. Tome I. Du côté de chez Swann,Firenze,s.d. (ma:,1581,BTB Segn. 2089 ,nan
2293,La Sacra Bibbia ossia," À la recherche du temps perdu. Tome II À l’ombre des jeunes filles en fleur. Paris, NRFGallimard, s.d","Paris, Gallimard",s.d. (ma:,1967,BTB Segn. 2171 ,Nota di possesso autografa in data 08.1915                   Edolo.
2294,"Sadler, Percy", À la recherche du temps perdu. Tome III. Le côté de Guermantes,"Milano, Longanesi",s.d. (ma:,1935,BTB Segn. 645 ,nan
2295,Saffo poetessa di Lesbo., À la recherche du temps perdu. Tome IV. Le côté de Guermantes II. Sodome et Gomorrhe I,del Milione,s.d. (ma:,1919,BTB Segn. 646 ,Nota di possesso autografa di Enrico Gadda in data 25.01.1918 Gallarate.
2296,Saffo poetessa di Lesbo., À la recherche du temps perdu. Tome V. Sodome et Gomorrhe,Milano,s.d. (ma:,1831,BTB Segn. 1091 ,nan
2297,Saffo poetessa di Lesbo., À la recherche du temps perdu. Tome VI. La prisonnière (Sodome et Gomorrhe III),"A cura di Enzo Biagi, Novara, Istituto geografico De Agostini",s.d. (ma:,1942,BTB Segn. 1974 ,nan
2298,"Saitta, Armando", À la recherche du temps perdu. Tome VII. Albertine disparue,"Firenze, Val lecchi",s.d. (ma:,1940,BTB Segn. Op. 118 ,nan
2299,Salimbene da Parma, À la recherche du temps perdu. Tome VIII. Le temps retrouvé,"Paris, Félix Alcan",s.d. (ma:,1920,BAL ,nan
2300,"Sallustio, Gaio Crispo", À la recherche du temps perdu,Paris,Gallimard,1956,BAL ,nan
2301,"Salmi, Mario", Alla ricerca del tempo perduto,"Bologna, Zanichelli",Einaudi,1954,BTB Segn. 928 ,nan
2302,"Salvatorelli, Luigi", Contre SainteBeuve,"Bologna, Zanichelli",Galli mard,1833,BTB Segn. Op. 104 ,nan
2303,"Salvatorelli, Luigi", Jean Santeuil,Torino,Gallimard,1908,BAL ,nan
2304,"Salvatorelli, Luigi",Morgante,"Milano, Rizzoli",Salani,1960,BTB Segn. Op. 53 ,Nota di possesso autografa di Carlo Lehr.
2305,"Salvatorelli, Luigi",  Il Morgante,"Milano, Rizzoli",Garzanti,1961,BTB Segn. 1552 ,Nota di possesso autografa di Carlo Lehr.
2306,"Salvatorelli, Luigi"," Il Morgante maggiore. Con un di scorso di U. Foscolo. Milano, Istituto Editoriale Italiano, s.d","Torino RomaMilanoFirenzeNapoli, Paravia",2 volumi.,1928,BTB Segn. Op. 54 ,nan
2307,"Salvatorelli, Luigi",Prolegomeni erotologici,,Carlo Martello,1913,BTB Segn. 1794 ,Sottolineature e postille.
2308,"Salvatorelli, Luigi",La figlia del capitano; La donna di picche,"Sesto San Giovanni, Barion",Bompiani,1942,BTB Segn. 2090 ,nan
2309,"Salvatorelli, Luigi","Intorno al castello di Breno. Storia di Valle Camonica, lago d’Iseo e vicinanze da Federico Barbarossa a S. Carlo Borromeo",Milano,Pro Valle Camonica,1857,BTB Segn. 1901 ,Postille.
2310,"Salvatorelli, Luigi",Apologhi e filastrocche,,Vallecchi,1878,BTB Segn. 2091 ,nan
2311,"Id. – Hühn, Eugen",Quaglia: villa borghese,Bologna,Bestetti,1919,BAL ,nan
2312,Sancti Francisci regula anni,  Acque e terre,"Milano, Rechiedei",Edizioni di So laria,1845,BTB Segn. 874 ,nan
2313,"Sandri, Giulio", Ed è subito sera. Con un saggio di S. Solmi,,Mondadori,1941,BTB Segn. 875 ,nan
2314,"Sandry, Gèo – Carrère, Marcel",  Erato e Apollion. Con un saggio introduttivo di S,,Scheiwiller,1944,BTB Segn. 876 ,nan
2315,Sanesi Tommaso, Poesie. Con un saggio di O. Macrì,"Firenze, Vallecchi",Primi Piani,1942,BTB Segn. Op. 55 ,nan
2316,San Giorgio: Progetto per la,Milano,"Firenze, Vallecchi",Edizioni della colomba,1964,BAL ,nan
2317,"Santangelo, Paolo Ettore",La colpa del prete Amaro. Traduzione di G. Prampolini,Torino,Mondadori,1956,BAL ,nan
2318,"Santarosa, Pietro (di)","Quevedo y Villegas, Francisco Gómez de  Los sueños","Milano, Schwarz",EspasaCalpe,1901,BTB Segn. 1762 ,S
2319,"Santayana, George", Los sueños,Torino,EspasaCalpe,1941,BTB Segn. 647 ,nan
2320,"Santi, Piero", Vita del Pitocco. Disegni di P. Nomellini,"Genova, Sigla  Effe",Formìggini,1938,BAL ,nan
2321,"Santi, Piero","Quicherat, LouisMarie Petit traité de versification","Genova, Del Mastro",Ha chette,1907,BTB Segn. 1518 ,nan
2322,"Santi, Piero",La rivoluzione,"Firenze, Vallecchi",Einaudi,1941,BTB Segn. 650 ,nan
2323,"Santi, Piero","Quintavalle, Armando Ottaviano  La Regia galleria di Parma","Venezia, Neri Pozza",Libreria dello Stato,1941,BTB Segn. 649 ,nan
2324,"Santi, Piero",Gargantua,"Milano, Vallardi",Roches,1949,BTB Segn. 648 ,nan
2325,"Santini, Aldo", Œuvres,"Torino, Einaudi",Lecon,1915,BTB Segn. 1092 ,Nota di possesso autografa in data 1949.
2326,"Sanvitale, Francesca", Œuvres,Milano,Librairies de la Bibliothèque Nationale,1931,BAL ,nan
2327,"Sapegno, Natalino", Œuvres complètes de Rabelais,Paris,Roches,1850,BAL ,nan
2328,"Sapegno, Natalino", Pantagruel,"Paris, Plon",Roches,1960,BAL ,nan
2329,"Sapienza, Goliarda",Leçons de philosophie. I. Psychologie. Avec une appendice sur le rôle de la Philosophie dans l’Education,Paris,Hachette,1812,BTB Segn. 2455 ,nan
2330,"Sapori, Armando", Leçons de philosophie. II. Logique,Torino,Hachette,1940,BTB Segn. Op. 5 ,nan
2331,Sardegna.,"dire in uso nella città di Siena e nei suoi dintorni. Iacomatti, G. Mazzotti",,Accademia degli Intronati,1962,BTB Segn. 1095 ,Intonso.
2332,"Sarpi, Paolo",Racconti della Scapigliatura (,,Racconti della Scapigliatura (,1947,BTB Segn. 1096 ,nan
2333,"Sassetti, Filippo",Racconti e novelle dell’Otto cento,"Bruxelles, Lejeune",Sansoni,1942,BTB Segn. 1097 ,nan
2334,"Savinio, Alberto",Racconti italiani,Roma,Racconti italiani,1942,BTB Segn. 1098 ,Postille.
2335,"Sbarbaro, Camillo",Port Royal,Milano,Einaudi,1954,BTB Segn. 1094 ,nan
2336,"Sbarbaro, Camillo", Théâtre,Bologna,Flammarion,1968,BTB Segn. 1093 ,nan
2337,"Sbodio, Gaetano",Alessandro il Grande,"Milano, Baldini e Castoldi",Einaudi,1969,BTB Segn. 1692 ,Parzialmente intonso.
2338,Scelta di poemi giocosi.,Morte dell’adolescenza,Paris,Al l’insegna del Conero,1923,BTB Segn. 929 ,nan
2339,"Schelling, Friedrich Wilhelm",Montale,Roma,Vallecchi,1923,BTB Segn. 651 ,nan
2340,"Schelsky, Helmut", I se,"Firenze, L’Indiano Galleria d’Arte",De Luca editore,1963,BTB Segn. 74 ,Nota di possesso Gadda 4.10.1921.
2341,"Schiaffini, Alfredo",Mitologia classica illustrata ad uso delle scuole medie,Milano,Hoepli,1922,BTB Segn. 2295 ,nan
2342,"Schiarini, Pompilio",Sette anni di sodalizio con Leopardi,"Milano,                  Garzanti",Gentile,1891,BTB Segn. 1693 ,nan
2343,"Schiller, Friedrich",Dizionario di scienze filosofiche,"Madrid, EspasaCalpe",Hoepli,1956,BTB Segn. 1764 ,nan
2344,"Schiller, Friedrich",Lucifero,Brescia,Madella,1907,BTB Segn. 1553 ,Pieghe.
2345,"Schiller, Friedrich","  Manuale della salute, Lugano, a spese                  dell’editore",Firenze,a spese                  dell’editore,1927,BTB Segn. 1554 ,nan
2346,.,Sette anni di vita nella casa di lavoro. (Memorie inedite),Novara,s.d.,1951,BTB Segn. 1555 ,nan
2347,"Schlegel, Friedrich von",Nuovo corso di lingua tedesca,"Novara, Rusconi",Treves,1935,BTB Segn. 1765 ,nan
2348,"Schleiden, Matthias Jakob",Arte e alienazione: il ruolo dell’artista nella società,Novara,Mazzotta,1924,BTB Segn. 1796 ,nan
2349,"Schmitz, Edmond – Jullien,", Scultura moderna,Roma,Mazzotta,1919,BTB Segn. 1568 ,nan
2350,"Schopenhauer, Arthur",  Diccionario manual e ilustrado de la lengua espanola,"Milano, Longanesi",Espasa Calpe,1924,BTB Segn. 1569 ,nan
2351,"Schopenhauer, Arthur",La basilica di Sant’Ambrogio a Milano,Milano,Electa,1952,BTB Segn. 1770 ,nan
2352,"Schopenhauer, Arthur",Regia Parnassi,Milano,Borsi,1934,BTB Segn. 1556 ,nan
2353,"Schuchert, Charles – Dunbar,",terno per le varie armi (esclusa quella dei carabinieri reali),"Firenze,             Olschki",Voghera,1955,BTB Segn. 2380  ,nan
2354,"Schultz, Ferdinand",. Due copie,Firenze,. Due copie.,1934,BTB Segn. Op. 46 ,nan
2355,"Schumann, Robert",Regolamento di disciplina militare,"Bari, Laterza",Voghera,1946,BAL  ,Foglio con appunti inserito.
2356,"Sciaccaluga, Giuseppe",la fanteria,"Bari,   Laterza",Voghera,1952,BTB Segn. Op. 98 ,nan
2357,"Sciascia, Leonardo",,PisaRoma,.,1966,BTB Segn. 1797 ,nan
2358,"Scillacio, Nicolò",A l’ouest rien de nouveau. Traduzione      di A. Hella e O. Bournac,Torino,Stock,1943,BAL ,Nota di possesso di Adele Gadda Lehr.
2359,"Scimei, Futabatei",Elisabeth Gravier de Vergennes detta) Memorie,Torino,Einaudi,1964,BTB Segn. 1352 ,nan
2360,Scipione (Gino Bonichi),Vita di Gesù,Torino,Treves,1933,BTB Segn. 653 ,Dedica dell’autore in data 9.10.1950.
2361,"Scobel, Albert",Mèmoires,Milano,Gallimard,1950,BAL ,Dedica dell’autore.
2362,"Scotti, Pietro",Colombo,"Torino, Primo tempo",UTET,1940,BAL ,Dedica dell’autore in data 9.5.1966.
2363,Sculture italiane di tutti i, Il genovese,"Milano, All’insegna del pesce d’oro",Comitato Cittadino Celebrazioni Colombiane,1949,BTB Segn. 654 ,Dedica dell’autore in data 13.7.1954.
2364,Un secolo di prosa. Panorama,Francfort,"Milano, La Stampa Moderna",Goldschmidt,1933,BTB Segn. 653 ,Dedica dell’autore in data 6.11.1945.
2365,"Segre, Cesare",La psychologie allemande contemporaine. Ecole expérimentale,"Milano, Bompiani",Cermer,1939,BAL ,nan
2366,"Sellitti, Gabriele", La psychologie anglaise,"Firenze, Salani",Alcan,1898,BAL ,nan
2367,"Sellitti, Gabriele","Richmond, Winifred V. Enciclopedia sessuale",Firenze,Bompiani,1957,BAL ,nan
2368,"Semenza, Carlo",Memorie di uno studioso,Nevers,Be lardetti,1882,BTB Segn. 877-879 ,Intonsi.
2369,"Seneca, Lucio Anneo", Vita di Girolamo Savonarola,,Belardetti,1910,BAL ,nan
2370,Senofonte, Vita di Niccolò Machiavelli,Firenze,Belardetti,1919,BAL ,nan
2371,"Serao, Matilde",Lettere commerciali e familiari,Roma,Riggio,1970,BTB Segn. Op. 57  ,Dedica dell’autore.
2372,"Sereni, Vittorio",. A Short History of English Civilization and Literature,London,Carpigiani e Zipoli,1966,BTB Segn. 2336 ,nan
2373,"Sereni, Vittorio",Il sergente nella neve,Roma,Ei naudi,1971,BTB Segn. 1763 ,nan
2374,"Serini, Paolo",I neologismi buoni e cattivi,Paris,Barbera,1973,BTB Segn. 652 ,nan
2375,"Sermonti, Vittorio",Elegie duinesi,"Roma, Anonima Romana Editoriale",Parenti,1950,BTB Segn. 2054 ,nan
2376,"Sermonti, Vittorio",Œuvres complètes,"Paris, NRFGallimard",Gallimard,1965,BAL ,nan
2377,"Seroni, Adriano", Una stagione all’inferno. Traduzione di O. Nemi,Torino,Longanesi,1903,BTB Segn. 656 ,nan
2378,"Serra, Renato","Il ritratto nella pittura lombarda dell’Ottocento. Milano, Ed",,Ed. del Milione,1952,BAL ,nan
2379,"Serra, Renato",Studi,,Bompiani,1946,BTB Segn. Op. 15 ,nan
2380,"Serravalli, Luigi",,"Milano, Rizzoli",Istituto geografico De Agostini,1917,BTB Segn. 657 ,nan
2381,"Serret, Joseph Alfred","Robecchi, Alessandro Lomboartriti croniche",Bari,Val lecchi,1932,BTB Segn. 1902 ,Parzialmente intonso.
2382,Servizio in guerra. Parte I.,La théorie platonicienne,Torino,Félix Alcan,1913,BTB Segn. 2092 ,nan
2383,", s.d.",La vie quotidienne au temps de la Révolution,,Hachette,1897,BAL ,nan
2384,"Sessa, Giuseppe",Carlo Alberto,Milano,Carlo Alberto,1954,BTB Segn. 1557 ,nan
2385,Sette sculture dal sec. V, Il medioevo barbarico e il Rinascimento italiano,Padova,Zanichelli,1939,BTB Segn. 1214 ,Parzialmente intonso.
2386,"Settembrini, Luigi", Le società antiche. Oriente Egitto Grecia Roma. Ad uso delle scuole normali,"Roma, Libreria dello Stato",s.d.,1941,BAL ,nan
2387,"Shakespeare, William",Grammatica storica della lingua italiana e dei suoi dialetti,Roma,Einaudi,1957,BTB Segn. 1316 ,nan
2388,"Shakespeare, William",Printemps Romains (,Lineamenti di storia moderna recentissima (,Printemps Romains (,1952,BTB Segn. 1215 ,Nota di possesso autografa di Adele Gadda Lehr. Sottolineature e postille di C.E. Gadda.
